Country_Annual_Real_GDP_1,Government_Effective_Expenses_1_1
5149.017808,679.2641664
5186.802317,679.2641664
5264.263882,684.7571933
5338.134615,684.7571933
5435.130977,684.7571933
5464.678929,684.7571933
5426.873679,712.9227054
5399.504385,712.9227054
5352.054504,712.9227054
5325.627429,712.9227054
5414.272054,710.3425462
5423.865677,710.3425462
5414.696011,710.3425462
5286.200078,710.3425462
5146.625919,729.6859073
5110.347868,729.6859073
5096.618161,729.6859073
5198.851003,729.6859073
5237.847758,735.1864972
5234.009422,735.1864972
5217.605286,735.1864972
5172.604715,735.1864972
5155.24328,739.6671675
5159.929689,739.6671675
5119.639156,739.6671675
5100.414032,739.6671675
5077.858947,739.3358096
5092.923985,739.3358096
5124.306137,739.3358096
5147.418529,739.3358096
5179.33552,774.596124
5147.337915,774.596124
5138.04422,774.596124
5145.249615,774.596124
5126.317308,775.7672345
5146.818289,775.7672345
5152.831672,775.7672345
5178.281684,775.7672345
5207.516934,801.0926045
5191.258271,801.0926045
5198.809115,801.0926045
5169.765875,801.0926045
5217.084317,809.431632
5286.667062,809.431632
5332.538422,809.431632
5421.716858,809.431632
5440.341325,906.5745463
5395.225384,906.5745463
5443.711539,906.5745463
5464.499891,906.5745463
5454.043979,926.9014238
5323.508685,926.9014238
5279.852259,926.9014238
5236.970229,926.9014238
5248.363113,840.3699959
5408.378643,840.3699959
5341.945584,840.3699959
5302.771028,840.3699959
5276.334759,896.596832
5261.376453,896.596832
5341.532404,896.596832
5287.484115,896.596832
5342.316242,902.5238674
5396.472353,902.5238674
5216.170241,902.5238674
5263.054049,902.5238674
5180.256825,918.5465732
5074.432529,918.5465732
5204.600746,918.5465732
5164.308302,918.5465732
5153.244605,900.503116
5193.697565,900.503116
5217.813691,900.503116
5243.079193,900.503116
5278.780382,952.2661627
5298.282191,952.2661627
5348.795668,952.2661627
5399.870599,952.2661627
5487.90786,1016.033958
5580.878011,1016.033958
5582.654838,1016.033958
5636.843039,1016.033958
5620.562618,1108.156784
5670.853994,1108.156784
5776.610229,1108.156784
5780.168034,1108.156784
5797.68814,1127.335015
5709.874464,1127.335015
5578.779875,1127.335015
5467.465887,1127.335015
5421.53257,1022.862166
5404.619498,1022.862166
5496.042842,1022.862166
5479.155059,1022.862166
5386.902018,1059.77624
5343.530584,1059.77624
